                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.33162,                 0.2344,                0.87405,                0.92658,                0.91436,                0.95593,                0.86742,                0.44872,                0.40528,                0.90854,                0.00208,                0.00208,                0.00208
                     82,                0.32254,                0.22717,                0.86992,                 0.9531,                0.90074,                0.95476,                0.86313,                0.45675,                0.39354,                 0.9221,               0.001981,               0.001981,               0.001981
                     83,                0.32729,                0.22423,                0.86666,                0.93237,                0.92484,                0.95316,                0.86404,                0.46449,                0.38878,                0.93492,               0.001882,               0.001882,               0.001882
                     84,                0.32307,                0.22097,                0.86601,                0.93374,                0.92609,                0.95573,                 0.8615,                0.46777,                 0.3832,                0.92583,               0.001783,               0.001783,               0.001783
                     85,                0.32302,                0.22669,                0.86783,                0.92987,                0.92553,                0.95788,                0.86528,                0.47021,                0.38318,                0.92885,               0.001684,               0.001684,               0.001684
                     86,                0.32144,                0.21915,                 0.8711,                0.93324,                 0.9198,                0.95651,                 0.8694,                0.46503,                0.39982,                0.91603,               0.001585,               0.001585,               0.001585
                     87,                0.31181,                0.21643,                0.86346,                0.92809,                0.92134,                0.95555,                 0.8696,                0.45563,                0.39345,                0.91739,               0.001486,               0.001486,               0.001486
                     88,                0.31512,                0.21127,                0.86129,                0.93932,                0.90991,                 0.9572,                0.87172,                0.44898,                0.38679,                0.91989,               0.001387,               0.001387,               0.001387
                     89,                0.31353,                0.21182,                0.86608,                0.92743,                0.91879,                0.95584,                0.87381,                0.44906,                0.40593,                0.92012,               0.001288,               0.001288,               0.001288
                     90,                0.31081,                0.20632,                0.86496,                0.94399,                0.91514,                0.95479,                0.86444,                0.46627,                 0.4204,                0.92767,               0.001189,               0.001189,               0.001189
                     91,                0.30538,                0.20667,                0.86241,                0.93517,                0.91715,                0.95846,                0.86554,                0.45943,                0.41398,                  0.925,                0.00109,                0.00109,                0.00109
                     92,                0.30407,                0.20839,                0.85961,                0.93001,                0.92317,                 0.9571,                0.86819,                0.45267,                0.40263,                0.92581,               0.000991,               0.000991,               0.000991
                     93,                0.30499,                0.21063,                0.86289,                0.94947,                0.90329,                0.95378,                0.86494,                0.44848,                0.39372,                0.91956,               0.000892,               0.000892,               0.000892
                     94,                0.30487,                0.20491,                0.85807,                0.92558,                0.91829,                 0.9519,                0.86018,                0.46492,                0.41507,                0.92479,               0.000793,               0.000793,               0.000793
                     95,                0.29404,                0.20091,                0.85577,                  0.942,                0.90486,                0.95374,                0.86505,                0.45488,                0.39916,                0.91842,               0.000694,               0.000694,               0.000694
                     96,                0.29679,                0.19932,                0.86045,                 0.9355,                0.91204,                0.95534,                0.86317,                0.45442,                0.39716,                0.91482,               0.000595,               0.000595,               0.000595
                     97,                0.29798,                0.19854,                0.85933,                  0.938,                0.92277,                0.95691,                0.86706,                0.45613,                0.38883,                0.92412,               0.000496,               0.000496,               0.000496
                     98,                0.29977,                0.20053,                0.86343,                0.93754,                0.92025,                0.95601,                0.87012,                  0.455,                0.38707,                0.92512,               0.000397,               0.000397,               0.000397
                     99,                 0.2947,                0.19778,                 0.8565,                0.93677,                0.91835,                0.95527,                0.86574,                0.45577,                0.38415,                0.92365,               0.000298,               0.000298,               0.000298
